Interactor_A,Interactor_B,Detection_Method,Interactor_A_Taxid,Interactor_B_Taxid,Interaction_Type,Reference,Confidence_Value,Original_ID_A,Original_ID_B,database
Q9W455,Q9V3A9,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9W455,uniprotkb:Q9V3A9,IntAct
Q9W455,Q9VH64,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9W455,uniprotkb:Q9VH64,IntAct
Q9W466,Q9VJB3,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9W466,uniprotkb:Q9VJB3,IntAct
Q9VRQ6,Q9VZE8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VRQ6,uniprotkb:Q9VZE8,IntAct
Q9V3Z1,Q9W4B6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9V3Z1,uniprotkb:Q9W4B6,IntAct
A1ZAC8,Q7K3V6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:A1ZAC8,uniprotkb:Q7K3V6,IntAct
Q7K3V6,Q9VJC7,MI:0018,7227,7227,MI:0915,MI:0469,0.62,uniprotkb:Q7K3V6,uniprotkb:Q9VJC7,IntAct
P39736,Q7K3V6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:P39736,uniprotkb:Q7K3V6,IntAct
Q8MSY4,Q9V3Q4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q8MSY4,uniprotkb:Q9V3Q4,IntAct
Q9VYV9,Q9V3Q4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYV9,uniprotkb:Q9V3Q4,IntAct
Q9V3Q4,Q9VJZ4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9V3Q4,uniprotkb:Q9VJZ4,IntAct
Q9VT19,Q9VZS5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VT19,uniprotkb:Q9VZS5,IntAct
Q9VPX7,Q9VZS5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VPX7,uniprotkb:Q9VZS5,IntAct
Q9VZS5,P23757,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZS5,uniprotkb:P23757,IntAct
Q7JUR5,Q9XZ68,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q7JUR5,uniprotkb:Q9XZ68,IntAct
Q9VQJ0,Q7JUR5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VQJ0,uniprotkb:Q7JUR5,IntAct
Q4V516,P48810,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q4V516,uniprotkb:P48810,IntAct
A1ZBR5,P48810,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:A1ZBR5,uniprotkb:P48810,IntAct
P48810,Q9VN86,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:P48810,uniprotkb:Q9VN86,IntAct
Q961B9,P48810,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q961B9,uniprotkb:P48810,IntAct
P48810,Q9VXX0,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:P48810,uniprotkb:Q9VXX0,IntAct
Q9VCM6,Q9VJ87,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VCM6,uniprotkb:Q9VJ87,IntAct
Q9W510,Q9VJ87,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9W510,uniprotkb:Q9VJ87,IntAct
Q9VRN3,P08879,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VRN3,uniprotkb:P08879,IntAct
Q9VRN3,Q7JWP6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VRN3,uniprotkb:Q7JWP6,IntAct
Q7K3Z6,Q6NLM8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q7K3Z6,uniprotkb:Q6NLM8,IntAct
P24492,Q8T8R6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:P24492,uniprotkb:Q8T8R6,IntAct
Q9VZK8,O77425,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:O77425,IntAct
Q9VZK8,Q8MKL4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:Q8MKL4,IntAct
Q9VZK8,Q9W314,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:Q9W314,IntAct
Q9VZK8,Q9VZX6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:Q9VZX6,IntAct
Q9VZK8,Q8MMC6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:Q8MMC6,IntAct
Q9VZK8,Q9V9Q2,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:Q9V9Q2,IntAct
Q9VZK8,Q9VPG0,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:Q9VPG0,IntAct
Q9VZK8,Q8T9F0,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:Q8T9F0,IntAct
Q9VZK8,Q9W4Y4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:Q9W4Y4,IntAct
Q9VZK8,Q7YTY6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VZK8,uniprotkb:Q7YTY6,IntAct
